x,y,z
-3.106362,3.495269,-5.637501
-3.106362,5.95827,-5.637501
-1.526696,6.045269,-5.512501
-3.193362,3.495269,-5.512501
-3.193362,6.045269,-5.512501
-1.526696,6.045269,-5.637501
-3.193362,6.045269,-5.637501
-1.526696,3.495269,-5.637501
-6.582248,3.736729,-11.900002
-6.582248,3.736729,-11.900002
5.389969,3.495269,11.000001
-7.01003,3.495269,8.933333
-6.91003,7.095269,8.933333
-6.91003,6.895252,5.366666
4.612471,4.835269,-11.347683
-6.232529,6.455269,-10.87838
-6.232529,6.455269,-10.87838
5.38997,3.495269,-1.449999
5.389969,7.095269,5.366667
5.389969,3.495269,5.366667
-7.01003,3.495269,5.366666
-7.01003,7.095269,5.366667
-7.010029,7.095267,-5.700001
5.389971,7.095269,-11.899998
-7.010029,3.495269,-11.900002
5.389969,3.495269,5.366667
5.28997,7.095269,8.933333
5.28997,7.095269,5.366667
-6.810031,6.895252,5.366666
-7.01003,3.495269,5.366666
-6.810031,6.895252,8.933333
-7.01003,3.495269,8.933333
-7.010029,3.495269,-7.700001
4.962191,3.495269,-11.899998
4.962191,3.736729,-11.899998
-6.582251,3.72134,-11.836269
-6.582248,7.095269,-10.900002
-7.010029,3.495269,-11.900002
4.962191,7.095269,-10.899998
5.18997,3.495269,5.366667
-6.810031,3.495269,8.933333
4.962235,7.095277,-10.899998
4.962191,10.695277,-10.899998
-6.582248,10.695275,-10.900002
-6.582292,7.095276,-10.900002
-6.810029,7.095273,-0.700001
-6.810029,10.095274,-0.5
0.38997,10.095274,-0.5
0.18997,7.095274,-0.7
-5.96003,10.095273,-5.700001
-0.960029,7.095273,-5.5
-0.060029,7.095274,-5.5
-0.060029,9.095274,-5.700001
0.189971,10.095274,-5.5
0.389971,10.095274,-5.700001
-0.060029,7.095274,-5.5
-1.110029,7.095273,-5.5
-1.11003,7.095273,-2.299999
-6.810029,10.095273,-0.700001
0.18997,7.095274,-0.7
-1.110029,7.095273,-5.5
-0.060029,7.095274,-5.5
0.18997,10.095274,-0.7
-6.810029,10.095273,-0.700001
-0.960029,7.095273,-5.700001
0.389971,10.095274,-5.700001
0.18997,7.095274,-0.7
-3.66003,7.095273,-5.700001
-5.96003,10.095273,-5.700001
-3.66003,10.095274,-5.700001
-1.360029,7.095273,-5.700001
-3.66003,10.095274,-5.700001
-1.360029,10.095274,-5.700001
-3.193363,9.645273,-5.700001
-3.193363,7.095273,-5.700001
-1.526696,7.095273,-5.700001
-1.526696,9.645273,-5.700001
-5.793363,9.645273,-5.700001
-5.793363,7.095273,-5.700001
-4.126697,7.095273,-5.700001
-4.126697,9.645273,-5.700001
-7.01003,7.095273,11.000001
5.389971,7.095273,-5.700001
5.139971,7.095273,-7.700001
-6.760029,7.095273,-7.700001
-7.010028,7.095273,-5.700001
5.139971,10.695272,-5.700001
5.139971,7.095273,-7.700001
-6.760029,7.095273,-5.700001
-6.760029,10.695272,-7.700001
5.139971,7.144367,-5.737534
5.139971,10.646179,-7.662464
-6.760029,10.646179,-5.737537
-6.760029,7.144368,-7.662464
5.039971,7.095273,-7.700001
5.039971,10.695273,-5.700001
-6.660028,10.695273,-7.700001
-6.660029,7.095273,-5.700001
-6.685029,9.544368,-7.662464
5.06497,9.544367,-5.737534
-6.735028,9.446178,-5.737537
-6.735028,9.544368,-7.662464
5.11497,9.544367,-5.737534
5.11497,9.446178,-7.662464
-6.735028,9.544368,-7.662464
5.11497,9.544367,-5.737534
-6.760029,7.144368,-5.737537
-6.760029,7.144368,-7.662464
-6.760029,7.095273,-7.700001
-6.660029,10.646179,-7.662464
-6.660029,10.646179,-5.737537
5.139971,10.695272,-7.700001
5.139971,10.646179,-7.662464
5.039971,10.646179,-7.662464
5.039971,7.144367,-5.737534
5.139971,10.695272,-5.700001
5.139971,7.144367,-5.737534
-6.760029,7.095273,-5.700001
5.039971,7.095273,-5.700001
-2.160029,7.295273,-7.900002
-6.660029,7.295273,-7.900002
5.039971,7.295273,-11.674072
5.039971,7.295273,-7.900002
0.03997,7.095273,-7.700001
-6.660029,7.095273,-7.700001
-2.160028,10.495274,-7.700001
-2.160028,10.495274,-7.900002
5.039971,10.495274,-10.748058
-2.160028,10.495274,-7.900002
0.03997,10.495256,-7.700001
5.039971,10.495256,-5.700001
-6.660028,10.495274,-7.700001
-2.160028,10.495274,-7.900002
-5.96003,7.095273,-5.700001
-5.96003,7.095273,-5.700001
-4.126697,7.095273,-5.700001
-4.126697,7.095273,-5.700001
-3.66003,7.095273,-5.700001
-3.66003,7.095273,-5.700001
-1.526696,7.095273,-5.700001
-1.360029,7.095273,-5.700001
-1.360029,7.095273,-5.700001
-0.060029,7.095274,-5.700001
0.389971,7.095274,-5.700001
0.389971,7.095274,-5.700001
-3.66003,10.095274,-5.700001
-0.68503,10.495256,-5.700001
5.039971,10.495256,-5.700001
-0.68503,10.495256,-5.700001
-3.66003,10.095274,-5.700001
0.389971,10.095274,-5.700001
2.539971,10.095274,-5.700001
2.539971,7.095273,-5.700001
0.389971,10.095274,-5.700001
-0.81003,10.495256,10.800002
1.18997,7.095273,2.700001
0.18997,7.095273,2.700001
1.18997,7.095273,2.5
0.18997,7.095274,2.5
5.18997,10.095274,2.5
0.38997,7.095274,-0.5
-3.010029,7.095273,2.5
-2.010029,7.095274,2.5
-0.91003,10.095274,2.5
5.18997,10.095274,2.5
1.18997,9.095274,2.5
1.18997,7.095273,2.5
-2.010029,7.095274,2.5
-2.010029,9.095274,2.5
-3.010029,9.095274,2.5
-3.010029,9.095274,2.5
-3.010029,9.095274,2.5
-0.81003,7.095273,2.700001
1.18997,7.095273,2.700001
-0.81003,10.495256,2.700001
0.18997,7.095274,2.5
0.18997,7.095274,2.5
1.18997,7.095273,2.700001
1.18997,9.095274,2.5
-0.81003,10.495256,10.800002
5.18997,7.095273,10.8
5.18997,7.095273,8.933333
5.18997,7.095273,5.366667
5.18997,10.495256,10.800002
5.18997,10.495256,5.366667
5.18997,10.495256,5.366667
5.18997,10.495256,2.700001
5.18997,10.495256,8.933333
5.18997,10.495256,8.933333
5.28997,10.495256,5.366667
5.28997,10.695273,8.933333
-6.810031,10.495256,8.933333
-6.810031,10.495256,8.933333
-6.810031,10.495256,2.699999
-6.810031,10.495256,5.366666
-6.810031,10.495256,5.366666
-6.810031,10.495256,10.800002
-6.810031,7.095273,5.366666
-6.810031,7.095273,8.933333
-6.810031,7.095273,10.8
-1.010031,10.495256,10.800002
-3.010029,9.095274,2.5
-3.010029,7.095273,2.699999
-2.010029,7.095274,2.5
-2.010029,7.095274,2.5
-1.01003,10.495256,2.700001
-3.010029,7.095273,2.699999
-1.01003,7.095273,2.700001
-2.010029,7.095273,2.700001
-3.010029,7.095273,2.699999
-1.010031,10.495256,10.800002
2.539971,10.095274,-5.400002
2.539971,10.095274,-5.700001
2.539971,10.095274,-5.400002
2.539971,7.095273,-5.700001
2.539971,7.095273,-5.400002
5.18997,7.095273,2.5
2.539971,7.095273,-5.400002
2.539971,10.095274,-5.400002
5.039971,10.495274,-10.748058
-6.660029,7.295273,-11.674072
-6.660028,10.495274,-10.748058
5.039971,7.295273,-11.674072
4.612471,10.055273,-10.87838
5.18997,7.095273,2.5
5.18997,7.095273,-1.449999
5.18997,10.095274,-5.400002
5.18997,10.095274,-1.449999
5.18997,7.095273,2.5
5.18997,10.095274,2.5
5.18997,10.095274,-1.449999
5.18997,7.095273,-1.449999
5.18997,7.095273,-1.449999
5.18997,10.095274,-1.449999
5.18997,10.095274,-5.400002
5.18997,7.095273,-5.400002
5.389971,7.095273,-5.700001
5.389971,10.695273,-5.700001
5.38997,10.695273,-1.449999
5.38997,7.095273,-1.449999
5.38997,10.695273,-1.449999
-7.010028,7.095273,-5.700001
-6.81003,7.917295,0.588219
-6.81003,10.095274,2.5
-6.81003,7.130929,2.5
-6.810029,7.130929,-0.5
5.18997,7.917295,0.588221
5.18997,7.917295,0.588221
5.18997,9.273252,1.778448
5.18997,7.917295,1.778448
5.18997,7.917295,-4.678447
5.18997,7.917295,-3.488218
5.18997,9.273252,-3.488218
5.18997,7.917295,-4.678447
-7.01003,7.917295,0.588219
-7.01003,7.917295,1.778448
-7.01003,9.273252,1.778448
-7.01003,7.917295,0.588219
-6.96003,7.917295,1.778448
-6.96003,9.273252,1.778448
-6.96003,9.273252,0.588219
-6.96003,7.917295,0.588219
-6.86003,9.273252,0.588219
-6.86003,9.273252,1.778448
-6.86003,7.917295,1.778448
-6.86003,7.917295,0.588219
-6.96003,7.957295,0.62822
-6.96003,7.957295,1.738447
-6.96003,9.233252,1.738447
-6.96003,7.957295,0.62822
0.03997,7.095273,-7.700001
0.03997,7.295273,-8.189049
5.039971,7.295273,-11.674072
0.03997,7.295273,-8.189049
-2.160029,7.295273,-7.900002
-2.160029,7.295273,-8.189049
0.03997,7.210253,-7.900002
0.03997,7.210253,-7.900002
0.03997,7.210253,-8.189049
-2.160029,7.295273,-7.900002
0.03997,7.295273,-7.900002
5.18997,10.495256,8.933333
-0.960029,7.095273,-5.5
0.189971,10.095274,-5.5
-2.160029,7.210253,-7.900002
-2.160028,10.495274,-7.900002
0.03997,7.095273,-7.700001
0.03997,7.095273,-7.700001
0.03997,10.495274,-7.900002
5.389971,7.095273,-7.700001
5.389969,10.695273,5.223663
5.389969,10.695273,5.075203
5.389969,7.095273,5.075203
5.389969,7.095273,5.223663
5.484795,10.589757,5.223663
5.484795,10.589757,9.223662
5.389969,7.095273,9.223662
5.389969,7.095273,9.075204
5.389969,10.695273,9.075204
5.389969,10.695273,9.223662
-7.015206,10.695273,5.075203
-7.015206,10.695273,5.223663
-7.015206,7.095273,5.223663
-7.015206,7.095273,5.075203
-7.110031,10.589757,5.075203
-7.110031,10.589757,9.075204
-7.015206,7.095273,9.075204
-7.015206,7.095273,9.223662
-7.015206,10.695273,9.223662
-7.015206,10.695273,9.075204
5.239971,7.957295,0.62822
5.239971,9.233252,1.738449
5.239971,7.957295,1.738449
5.239971,7.957295,0.62822
5.33997,7.917295,0.588221
5.33997,7.917295,1.778448
5.33997,9.273252,1.778448
5.33997,9.273252,0.588221
5.239971,7.917295,0.588221
5.239971,9.273252,0.588221
5.239971,9.273252,1.778448
5.239971,7.917295,1.778448
5.239972,7.917295,-3.488317
5.239972,9.273252,-3.488317
5.239972,9.273252,-4.678545
5.239972,7.917295,-4.678545
5.33997,9.273252,-4.678545
5.33997,9.273252,-3.488317
5.33997,7.917295,-3.488317
5.33997,7.917295,-4.678545
5.239972,7.957295,-4.638545
5.239972,7.957295,-3.528316
5.239972,9.233252,-3.528316
5.239972,7.957295,-4.638545
5.11497,8.344367,-5.737534
5.11497,8.246179,-7.662464
5.11497,8.344367,-5.737534
5.06497,8.344367,-5.737534
-6.735028,8.344368,-7.662464
-6.735028,8.344368,-7.662464
-6.735028,8.246179,-5.737537
-6.685029,8.344368,-7.662464
-4.126697,7.095273,-5.637501
-5.793363,9.645273,-5.637501
-4.126697,9.645273,-5.637501
-5.793363,9.645273,-5.512501
-5.793363,7.095273,-5.512501
-4.126697,9.645273,-5.512501
-5.706363,9.558273,-5.637501
-5.706363,7.095273,-5.637501
-4.213696,9.558273,-5.637501
-1.613696,9.558273,-5.637501
-3.106362,7.095273,-5.637501
-3.106362,9.558273,-5.637501
-1.526696,9.645273,-5.512501
-3.193362,7.095273,-5.512501
-3.193362,9.645273,-5.512501
-1.526696,9.645273,-5.637501
-3.193362,9.645273,-5.637501
-1.526696,7.095273,-5.637501
-6.582248,7.336734,-11.900002
-6.582248,7.336734,-11.900002
5.389969,7.095273,11.000001
-7.01003,7.095273,8.933333
-6.91003,10.695272,8.933333
-6.91003,10.495256,5.366666
4.612471,8.435273,-11.347683
-6.232529,10.055273,-10.87838
-6.232529,10.055273,-10.87838
5.38997,7.095273,-1.449999
5.389969,10.695273,5.366667
5.389969,7.095273,5.366667
-7.01003,7.095273,5.366666
-7.01003,10.695273,5.366667
-7.010029,10.695271,-5.700001
5.389971,10.695272,-11.899998
-7.010029,7.095273,-11.900002
5.389969,7.095273,5.366667
5.28997,10.695273,8.933333
5.28997,10.695273,5.366667
-6.810031,10.495256,5.366666
-7.01003,7.095273,5.366666
-6.810031,10.495256,8.933333
-7.01003,7.095273,8.933333
-7.010029,7.095273,-7.700001
4.962191,7.095273,-11.899998
4.962191,7.336734,-11.899998
-6.582251,7.321344,-11.836269
-6.582248,10.695273,-10.900002
-7.010029,7.095273,-11.900002
4.962191,10.695273,-10.899998
5.18997,7.095273,5.366667
-6.810031,7.095273,8.933333
4.962235,10.695281,-10.899998
4.962191,14.295281,-10.899998
-6.582248,14.29528,-10.900002
-6.582292,10.69528,-10.900002
-6.810029,10.695277,-0.700001
-6.810029,13.695278,-0.5
0.38997,13.695278,-0.5
0.18997,10.695278,-0.7
-5.96003,13.695277,-5.700001
-0.960029,10.695278,-5.5
-0.060029,10.695278,-5.5
-0.060029,12.695278,-5.700001
0.189971,13.695278,-5.5
0.389971,13.695278,-5.700001
-0.060029,10.695278,-5.5
-1.110029,10.695278,-5.5
-1.11003,10.695278,-2.299999
-6.810029,13.695277,-0.700001
0.18997,10.695278,-0.7
-1.110029,10.695278,-5.5
-0.060029,10.695278,-5.5
0.18997,13.695278,-0.7
-6.810029,13.695277,-0.700001
-0.960029,10.695278,-5.700001
0.389971,13.695278,-5.700001
0.18997,10.695278,-0.7
-3.66003,10.695278,-5.700001
-5.96003,13.695277,-5.700001
-3.66003,13.695278,-5.700001
-1.360029,10.695278,-5.700001
-3.66003,13.695278,-5.700001
-1.360029,13.695278,-5.700001
-3.193363,13.245277,-5.700001
-3.193363,10.695278,-5.700001
-1.526696,10.695278,-5.700001
-1.526696,13.245277,-5.700001
-5.793363,13.245277,-5.700001
-5.793363,10.695277,-5.700001
-4.126697,10.695278,-5.700001
-4.126697,13.245277,-5.700001
-7.01003,10.695277,11.000001
5.389971,10.695277,-5.700001
5.139971,10.695277,-7.700001
-6.760029,10.695277,-7.700001
-7.010028,10.695277,-5.700001
5.139971,14.295277,-5.700001
5.139971,10.695277,-7.700001
-6.760029,10.695277,-5.700001
-6.760029,14.295277,-7.700001
5.139971,10.744371,-5.737534
5.139971,14.246183,-7.662464
-6.760029,14.246183,-5.737537
-6.760029,10.744371,-7.662464
5.039971,10.695277,-7.700001
5.039971,14.295278,-5.700001
-6.660028,14.295278,-7.700001
-6.660029,10.695277,-5.700001
-6.685029,13.144372,-7.662464
5.06497,13.144371,-5.737534
-6.735028,13.046183,-5.737537
-6.735028,13.144372,-7.662464
5.11497,13.144371,-5.737534
5.11497,13.046183,-7.662464
-6.735028,13.144372,-7.662464
5.11497,13.144371,-5.737534
-6.760029,10.744371,-5.737537
-6.760029,10.744371,-7.662464
-6.760029,10.695277,-7.700001
-6.660029,14.246183,-7.662464
-6.660029,14.246183,-5.737537
5.139971,14.295277,-7.700001
5.139971,14.246183,-7.662464
5.039971,14.246183,-7.662464
5.039971,10.744371,-5.737534
5.139971,14.295277,-5.700001
5.139971,10.744371,-5.737534
-6.760029,10.695277,-5.700001
5.039971,10.695277,-5.700001
-2.160029,10.895277,-7.900002
-6.660029,10.895277,-7.900002
5.039971,10.895277,-11.674072
5.039971,10.895277,-7.900002
0.03997,10.695277,-7.700001
-6.660029,10.695277,-7.700001
-2.160028,14.095278,-7.700001
-2.160028,14.095278,-7.900002
5.039971,14.095278,-10.748058
-2.160028,14.095278,-7.900002
0.03997,14.095261,-7.700001
5.039971,14.095261,-5.700001
-6.660028,14.095278,-7.700001
-2.160028,14.095278,-7.900002
-5.96003,10.695277,-5.700001
-5.96003,10.695277,-5.700001
-4.126697,10.695278,-5.700001
-4.126697,10.695278,-5.700001
-3.66003,10.695278,-5.700001
-3.66003,10.695278,-5.700001
-1.526696,10.695278,-5.700001
-1.360029,10.695278,-5.700001
-1.360029,10.695278,-5.700001
-0.060029,10.695278,-5.700001
0.389971,10.695278,-5.700001
0.389971,10.695278,-5.700001
-3.66003,13.695278,-5.700001
-0.68503,14.095261,-5.700001
5.039971,14.095261,-5.700001
-0.68503,14.095261,-5.700001
-3.66003,13.695278,-5.700001
0.389971,13.695278,-5.700001
2.539971,13.695278,-5.700001
2.539971,10.695277,-5.700001
0.389971,13.695278,-5.700001
-0.81003,14.095261,10.800002
1.18997,10.695277,2.700001
0.18997,10.695277,2.700001
1.18997,10.695278,2.5
0.18997,10.695278,2.5
5.18997,13.695278,2.5
0.38997,10.695278,-0.5
-3.010029,10.695278,2.5
-2.010029,10.695278,2.5
-0.91003,13.695278,2.5
5.18997,13.695278,2.5
1.18997,12.695278,2.5
1.18997,10.695278,2.5
-2.010029,10.695278,2.5
-2.010029,12.695278,2.5
-3.010029,12.695278,2.5
-3.010029,12.695278,2.5
-3.010029,12.695278,2.5
-0.81003,10.695277,2.700001
1.18997,10.695277,2.700001
-0.81003,14.095261,2.700001
0.18997,10.695278,2.5
0.18997,10.695278,2.5
1.18997,10.695277,2.700001
1.18997,12.695278,2.5
-0.81003,14.095261,10.800002
5.18997,10.695277,10.8
5.18997,10.695277,8.933333
5.18997,10.695277,5.366667
5.18997,14.095261,10.800002
5.18997,14.095261,5.366667
5.18997,14.095261,5.366667
5.18997,14.095261,2.700001
5.18997,14.095261,8.933333
5.18997,14.095261,8.933333
5.28997,14.095261,5.366667
5.28997,14.295278,8.933333
-6.810031,14.095261,8.933333
-6.810031,14.095261,8.933333
-6.810031,14.095261,2.699999
-6.810031,14.095261,5.366666
-6.810031,14.095261,5.366666
-6.810031,14.095261,10.800002
-6.810031,10.695277,5.366666
-6.810031,10.695277,8.933333
-6.810031,10.695277,10.8
-1.010031,14.095261,10.800002
-3.010029,12.695278,2.5
-3.010029,10.695277,2.699999
-2.010029,10.695278,2.5
-2.010029,10.695278,2.5
-1.01003,14.095261,2.700001
-3.010029,10.695277,2.699999
-1.01003,10.695277,2.700001
-2.010029,10.695277,2.700001
-3.010029,10.695277,2.699999
